,mean,std,min,max,median
snr_before,3.360189914703369,8.584277153015137,-19.386341094970703,31.852516174316406,3.261382579803467
snr_after,8.948541641235352,6.207371711730957,-15.686954498291016,25.765216827392578,9.500215530395508
snr_improvement,5.588352203369141,5.5311279296875,-17.752933502197266,16.54351043701172,7.139371871948242
psnr,20.960657119750977,5.036354064941406,2.2923336029052734,32.37751770019531,21.64023208618164
mse,0.017244895920157433,0.0327199324965477,0.0005784266395494342,0.884826123714447,0.006854517385363579
mae,0.09054914116859436,0.06898405402898788,0.01746434159576893,0.9387847185134888,0.06811323761940002
ssim,0.7284773562176856,0.29065775118413945,-0.7150479191018579,0.9940636753995271,0.841724171855707
