snr_before,snr_after,snr_improvement,psnr,mse,mae,ssim
17.787853,9.749216,-8.038637,13.433945,0.045352947,0.20658717,0.8798085509907647
14.832082,7.739859,-7.0922227,11.356636,0.073170565,0.25228095,0.7072152043575517
15.790986,7.2566957,-8.53429,12.0971985,0.061699275,0.24412417,0.7671401791929296
-2.6899743,6.0821257,8.7721,20.136087,0.009691505,0.083957404,0.5633915879720272
0.026493045,6.1943655,6.1678724,23.934837,0.0040412555,0.036548797,0.4132977921767359
-0.13784677,6.8385134,6.9763603,19.771235,0.010540873,0.08599588,0.7282663485430957
8.187847,12.394434,4.206587,21.681318,0.0067899744,0.06407592,0.8447229661642016
-0.28355715,6.824975,7.108532,20.829311,0.008261692,0.0744983,0.6556247150144607
3.2499924,8.7725315,5.522539,24.184738,0.0038152789,0.04512082,0.7762842471768036
4.39798,5.7797565,1.3817763,24.218288,0.0037859192,0.04533077,0.671685246517742
-4.6614704,3.9505854,8.612056,22.855455,0.0051814863,0.06144246,0.6392189994981816
-9.391937,-0.54827785,8.843659,21.145164,0.0076821614,0.071576044,0.16665288940616568
7.5124145,10.016236,2.5038218,17.713524,0.016929634,0.11605249,0.7611546521156002
4.853261,7.7443943,2.8911333,18.28929,0.014827606,0.09257628,0.7324812221487784
-2.2742472,4.4696193,6.7438664,21.214725,0.007560096,0.064471506,0.3844988231678594
-2.5587928,10.565108,13.123901,25.80457,0.0026275015,0.0373837,0.8362899664877091
-6.00305,2.9397693,8.94282,23.699795,0.0042659985,0.056600995,0.6027811502837714
-5.4638743,4.968448,10.4323225,20.167177,0.009622374,0.082466096,0.6086376931685271
-5.7736654,2.6366136,8.410279,23.152409,0.0048390394,0.052428905,0.39975225863192626
0.9763516,6.640314,5.6639624,21.26027,0.0074812328,0.058558427,0.5335023313997067
-5.253063,3.5521114,8.805175,23.032436,0.0049745794,0.057498716,0.5541947124920137
-0.092397965,7.078788,7.171186,22.738573,0.0053228294,0.05539856,0.7014840563737508
-1.0441116,6.242075,7.2861867,24.258083,0.0037513836,0.051954545,0.7280704488104435
-10.896281,-1.7440569,9.152225,19.59452,0.010978621,0.09684085,0.299455320853176
-2.7914176,4.6574574,7.448875,21.797867,0.0066101807,0.066061735,0.41213426695751537
-4.1321716,2.9006867,7.0328584,23.756084,0.0042110602,0.057485458,0.6220150446056397
2.7512383,9.296915,6.5456767,21.601822,0.0069154087,0.072283536,0.8493654499093491
0.2028761,6.324197,6.1213207,21.169558,0.0076391376,0.071203984,0.667875610977826
-0.6244224,2.763662,3.3880844,22.191505,0.006037393,0.06162462,0.4530153188060714
1.528427,9.841303,8.312876,22.985302,0.0050288644,0.056409955,0.8498904152815703
-7.1669493,1.9717438,9.138693,23.10426,0.004892987,0.06435098,0.5982276076356633
-6.468942,1.1849256,7.6538677,22.481228,0.0056477753,0.057930917,0.30309741430652243
-8.471074,0.93822986,9.409304,20.825377,0.008269178,0.07926973,0.46163118900321803
0.0930278,9.463341,9.370313,24.244577,0.00376307,0.045632206,0.83430037303688
-1.4999774,6.322501,7.8224783,24.869043,0.0032590835,0.049251616,0.7837498716198615
0.27475905,8.025225,7.7504654,24.879467,0.003251271,0.045849938,0.808139362675346
-10.724817,-0.47113627,10.253681,22.566269,0.0055382582,0.067783855,0.4948266540372021
2.4019227,7.9164944,5.5145717,23.899242,0.0040745134,0.04625163,0.7567595513408955
5.091771,11.903485,6.811714,23.451674,0.0045168186,0.057327155,0.8981554938615924
-2.5499206,5.5250697,8.07499,22.189575,0.006040078,0.055379488,0.600003628486883
-1.443459,5.7413583,7.1848173,20.663527,0.008583165,0.065969594,0.6271490758092777
-6.1558733,1.8752283,8.031101,20.589214,0.008731296,0.07659925,0.1836891880271977
-9.64504,-1.4485748,8.196465,17.779263,0.016675306,0.12152898,0.3547520385481665
-6.327822,1.9405413,8.268364,23.011166,0.004999004,0.05845634,0.331167993861455
-4.116725,2.323716,6.440441,23.180962,0.0048073297,0.056831338,0.41985313247008593
4.711543,6.9283934,2.2168503,19.135553,0.012202387,0.08338698,0.6958503241155444
